Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2352,Verona,ITA,Italy,45.440390441,10.990016234,1,69.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2014,1,1,0,0.84,86.37,0.0,0.0,0.0,258.32,0.9,292.0,1011.68,
2014,1,1,1,0.66,86.49,0.0,0.0,0.0,260.41,0.93,325.0,1012.41,
2014,1,1,2,0.49,86.61,0.0,0.0,0.0,262.51,0.97,318.0,1012.15,
2014,1,1,3,0.31,86.73,0.0,0.0,0.0,264.61,1.01,311.0,1011.88,
2014,1,1,4,0.14,86.85,0.0,0.0,0.0,266.7,1.05,308.0,1011.78,
2014,1,1,5,-0.04,86.97,0.0,0.0,0.0,268.8,1.09,304.0,1011.68,
2014,1,1,6,-0.22,87.09,0.0,0.0,0.0,270.9,1.13,301.0,1011.58,
2014,1,1,7,-0.39,87.21,0.0,0.0,0.0,272.99,1.17,297.0,1011.95,
2014,1,1,8,-0.57,87.33,0.0,0.0,0.0,275.09,1.21,293.0,1012.31,
2014,1,1,9,2.86,83.03,112.0,299.67,64.0,264.55,0.91,288.0,1012.68,
2014,1,1,10,4.38,76.65,250.0,686.82,66.0,265.08,1.04,272.0,1012.34,
2014,1,1,11,5.91,70.26,325.0,706.28,86.0,265.62,1.17,255.0,1012.01,
2014,1,1,12,7.43,63.88,363.0,766.0,82.0,266.15,1.3,238.0,1011.68,
2014,1,1,13,7.43,65.07,345.0,754.32,80.0,266.3,1.3,234.0,1011.55,
2014,1,1,14,7.43,66.26,271.0,655.6,79.0,266.45,1.3,231.0,1011.42,
2014,1,1,15,7.44,67.45,154.0,439.96,68.0,266.6,1.3,227.0,1011.29,
2014,1,1,16,6.58,70.42,26.0,60.81,22.0,262.78,1.31,261.0,1011.52,
2014,1,1,17,5.73,73.39,0.0,0.0,0.0,258.97,1.33,296.0,1011.75,
2014,1,1,18,4.88,76.36,0.0,0.0,0.0,255.15,1.35,330.0,1011.98,
2014,1,1,19,3.86,79.37,0.0,0.0,0.0,253.12,1.48,277.0,1012.05,
2014,1,1,20,2.85,82.37,0.0,0.0,0.0,251.08,1.6,224.0,1012.11,
2014,1,1,21,1.84,85.38,0.0,0.0,0.0,249.05,1.72,172.0,1012.18,
2014,1,1,22,1.35,87.44,0.0,0.0,0.0,248.8,1.6,125.0,1011.78,
2014,1,1,23,0.87,89.51,0.0,0.0,0.0,248.55,1.49,79.0,1011.39,
2014,1,2,0,0.38,91.57,0.0,0.0,0.0,248.3,1.37,32.0,1010.99,
2014,1,2,1,0.73,92.24,0.0,0.0,0.0,261.18,1.21,21.0,1010.96,
2014,1,2,2,1.09,92.92,0.0,0.0,0.0,274.07,1.06,9.0,1010.92,
2014,1,2,3,1.44,93.59,0.0,0.0,0.0,286.95,0.91,357.0,1010.89,
2014,1,2,4,1.61,94.08,0.0,0.0,0.0,289.0,0.88,13.0,1010.46,
2014,1,2,5,1.79,94.57,0.0,0.0,0.0,291.05,0.85,28.0,1010.03,
2014,1,2,6,1.97,95.06,0.0,0.0,0.0,293.1,0.81,44.0,1009.6,
2014,1,2,7,2.47,93.55,0.0,0.0,0.0,295.33,1.04,55.0,1009.4,
2014,1,2,8,2.98,92.03,0.0,0.0,0.0,297.57,1.27,65.0,1009.2,
2014,1,2,9,3.48,90.52,44.0,0.0,44.0,299.8,1.5,76.0,1009.01,
2014,1,2,10,3.57,90.33,60.0,0.0,60.0,308.22,1.28,78.0,1008.58,
2014,1,2,11,3.66,90.14,104.0,0.0,104.0,316.63,1.06,79.0,1008.15,
2014,1,2,12,3.75,89.95,170.0,29.88,159.0,325.05,0.84,80.0,1007.72,
2014,1,2,13,3.94,90.37,62.0,0.0,62.0,329.72,0.71,58.0,1007.91,
2014,1,2,14,4.13,90.78,89.0,0.0,89.0,334.38,0.58,35.0,1008.11,
2014,1,2,15,4.32,91.2,53.0,0.0,53.0,339.05,0.46,13.0,1008.31,
2014,1,2,16,4.13,92.3,14.0,0.0,14.0,338.33,0.47,16.0,1008.38,
2014,1,2,17,3.94,93.4,0.0,0.0,0.0,337.62,0.49,19.0,1008.44,
2014,1,2,18,3.76,94.5,0.0,0.0,0.0,336.9,0.51,23.0,1008.51,
2014,1,2,19,3.86,94.76,0.0,0.0,0.0,337.58,0.6,13.0,1008.84,
2014,1,2,20,3.96,95.01,0.0,0.0,0.0,338.27,0.69,4.0,1009.17,
2014,1,2,21,4.07,95.27,0.0,0.0,0.0,338.95,0.79,355.0,1009.5,
2014,1,2,22,3.85,95.52,0.0,0.0,0.0,338.98,0.7,353.0,1009.57,
2014,1,2,23,3.64,95.77,0.0,0.0,0.0,339.02,0.61,351.0,1009.63,
2014,1,3,0,3.42,96.02,0.0,0.0,0.0,339.05,0.52,349.0,1009.7,
2014,1,3,1,3.46,96.09,0.0,0.0,0.0,336.37,0.74,357.0,1010.06,
2014,1,3,2,3.49,96.17,0.0,0.0,0.0,333.68,0.96,5.0,1010.43,
2014,1,3,3,3.53,96.24,0.0,0.0,0.0,331.0,1.17,13.0,1010.79,
2014,1,3,4,3.39,96.5,0.0,0.0,0.0,330.02,1.07,14.0,1010.82,
2014,1,3,5,3.25,96.75,0.0,0.0,0.0,329.03,0.96,15.0,1010.86,
2014,1,3,6,3.11,97.01,0.0,0.0,0.0,328.05,0.86,16.0,1010.89,
2014,1,3,7,3.75,96.77,0.0,0.0,0.0,330.35,1.04,17.0,1011.25,
2014,1,3,8,4.4,96.53,0.0,0.0,0.0,332.65,1.22,18.0,1011.62,
2014,1,3,9,5.04,96.29,74.0,55.91,65.0,334.95,1.41,19.0,1011.98,
2014,1,3,10,5.55,94.71,109.0,14.85,105.0,335.3,1.31,15.0,1011.98,
2014,1,3,11,6.07,93.12,91.0,0.0,91.0,335.65,1.2,10.0,1011.98,
2014,1,3,12,6.58,91.54,94.0,0.0,94.0,336.0,1.1,5.0,1011.98,
2014,1,3,13,6.44,92.33,121.0,2.82,120.0,333.25,1.09,4.0,1011.98,
2014,1,3,14,6.3,93.13,74.0,0.0,74.0,330.5,1.08,2.0,1011.98,
2014,1,3,15,6.16,93.92,31.0,0.0,31.0,327.75,1.06,1.0,1011.98,
2014,1,3,16,5.39,94.41,14.0,0.0,14.0,325.0,1.17,352.0,1012.18,
2014,1,3,17,4.62,94.9,0.0,0.0,0.0,322.25,1.27,343.0,1012.38,
2014,1,3,18,3.86,95.39,0.0,0.0,0.0,319.5,1.38,334.0,1012.58,
2014,1,3,19,3.67,95.75,0.0,0.0,0.0,325.35,1.31,330.0,1012.84,
2014,1,3,20,3.48,96.11,0.0,0.0,0.0,331.2,1.24,326.0,1013.1,
2014,1,3,21,3.3,96.47,0.0,0.0,0.0,337.05,1.17,322.0,1013.37,
2014,1,3,22,3.1,96.52,0.0,0.0,0.0,336.8,1.06,326.0,1013.24,
2014,1,3,23,2.9,96.57,0.0,0.0,0.0,336.55,0.95,329.0,1013.1,
2014,1,4,0,2.7,96.62,0.0,0.0,0.0,336.3,0.84,332.0,1012.97,
2014,1,4,1,3.56,95.35,0.0,0.0,0.0,334.2,0.78,360.0,1012.94,
2014,1,4,2,4.43,94.08,0.0,0.0,0.0,332.1,0.72,27.0,1012.91,
2014,1,4,3,5.29,92.81,0.0,0.0,0.0,330.0,0.66,55.0,1012.87,
2014,1,4,4,5.63,93.79,0.0,0.0,0.0,336.58,1.06,57.0,1012.38,
2014,1,4,5,5.97,94.77,0.0,0.0,0.0,343.17,1.46,59.0,1011.88,
2014,1,4,6,6.31,95.75,0.0,0.0,0.0,349.75,1.86,61.0,1011.39,
2014,1,4,7,6.71,96.27,0.0,0.0,0.0,350.92,2.71,64.0,1011.02,
2014,1,4,8,7.12,96.79,0.0,0.0,0.0,352.08,3.56,68.0,1010.66,
2014,1,4,9,7.52,97.31,13.0,0.0,13.0,353.25,4.41,71.0,1010.29,
2014,1,4,10,7.71,97.3,60.0,0.0,60.0,354.0,4.41,78.0,1009.01,
2014,1,4,11,7.91,97.29,36.0,0.0,36.0,354.75,4.4,86.0,1007.72,
2014,1,4,12,8.1,97.28,57.0,0.0,57.0,355.5,4.4,93.0,1006.43,
2014,1,4,13,7.62,97.14,31.0,0.0,31.0,354.63,4.73,90.0,1005.37,
2014,1,4,14,7.13,97.0,39.0,0.0,39.0,353.77,5.05,86.0,1004.31,
2014,1,4,15,6.65,96.86,52.0,0.0,52.0,352.9,5.38,83.0,1003.25,
2014,1,4,16,7.06,96.52,8.0,0.0,8.0,354.22,5.43,112.0,1002.46,
2014,1,4,17,7.47,96.18,0.0,0.0,0.0,355.53,5.48,142.0,1001.67,
2014,1,4,18,7.89,95.84,0.0,0.0,0.0,356.85,5.53,172.0,1000.87,
2014,1,4,19,8.36,95.61,0.0,0.0,0.0,354.17,4.34,174.0,1000.34,
2014,1,4,20,8.83,95.37,0.0,0.0,0.0,351.48,3.14,176.0,999.81,
2014,1,4,21,9.3,95.14,0.0,0.0,0.0,348.8,1.94,178.0,999.29,
2014,1,4,22,9.64,95.7,0.0,0.0,0.0,353.8,1.6,179.0,998.62,
2014,1,4,23,9.99,96.26,0.0,0.0,0.0,358.8,1.26,180.0,997.96,
2014,1,5,0,10.33,96.82,0.0,0.0,0.0,363.8,0.91,181.0,997.3,
2014,1,5,1,9.94,96.85,0.0,0.0,0.0,363.75,1.33,148.0,997.24,
2014,1,5,2,9.56,96.88,0.0,0.0,0.0,363.7,1.76,116.0,997.17,
2014,1,5,3,9.17,96.91,0.0,0.0,0.0,363.65,2.18,83.0,997.1,
2014,1,5,4,9.49,96.93,0.0,0.0,0.0,363.08,2.8,86.0,996.18,
2014,1,5,5,9.81,96.95,0.0,0.0,0.0,362.52,3.42,89.0,995.25,
2014,1,5,6,10.13,96.97,0.0,0.0,0.0,361.95,4.04,92.0,994.33,
2014,1,5,7,10.51,97.05,0.0,0.0,0.0,363.33,3.67,97.0,994.16,
2014,1,5,8,10.89,97.13,0.0,0.0,0.0,364.72,3.3,103.0,994.0,
2014,1,5,9,11.27,97.21,17.0,0.0,17.0,366.1,2.92,109.0,993.83,
2014,1,5,10,10.84,97.16,56.0,0.0,56.0,358.43,2.47,112.0,993.66,
2014,1,5,11,10.41,97.11,66.0,0.0,66.0,350.77,2.01,114.0,993.5,
2014,1,5,12,9.98,97.06,71.0,0.0,71.0,343.1,1.56,117.0,993.33,
2014,1,5,13,9.85,96.58,145.0,11.15,141.0,334.28,1.49,85.0,994.49,
2014,1,5,14,9.71,96.09,26.0,0.0,26.0,325.47,1.42,54.0,995.65,
2014,1,5,15,9.58,95.61,16.0,0.0,16.0,316.65,1.35,23.0,996.81,
2014,1,5,16,8.91,95.13,5.0,0.0,5.0,305.43,1.52,17.0,997.96,
2014,1,5,17,8.24,94.64,0.0,0.0,0.0,294.22,1.69,11.0,999.12,
2014,1,5,18,7.58,94.16,0.0,0.0,0.0,283.0,1.86,5.0,1000.28,
2014,1,5,19,7.15,93.38,0.0,0.0,0.0,283.57,1.74,2.0,1001.47,
2014,1,5,20,6.72,92.61,0.0,0.0,0.0,284.13,1.61,359.0,1002.66,
2014,1,5,21,6.29,91.83,0.0,0.0,0.0,284.7,1.49,356.0,1003.85,
2014,1,5,22,5.46,92.26,0.0,0.0,0.0,285.35,1.69,349.0,1004.48,
2014,1,5,23,4.62,92.7,0.0,0.0,0.0,286.0,1.89,342.0,1005.1,
2014,1,6,0,3.79,93.13,0.0,0.0,0.0,286.65,2.08,334.0,1005.73,
2014,1,6,1,3.84,93.67,0.0,0.0,0.0,279.65,1.82,330.0,1006.59,
2014,1,6,2,3.88,94.22,0.0,0.0,0.0,272.65,1.56,326.0,1007.45,
2014,1,6,3,3.93,94.76,0.0,0.0,0.0,265.65,1.3,322.0,1008.31,
2014,1,6,4,3.61,95.32,0.0,0.0,0.0,266.9,1.1,320.0,1008.67,
2014,1,6,5,3.29,95.89,0.0,0.0,0.0,268.15,0.9,318.0,1009.04,
2014,1,6,6,2.97,96.45,0.0,0.0,0.0,269.4,0.7,317.0,1009.4,
2014,1,6,7,4.0,95.83,0.0,0.0,0.0,276.47,0.64,322.0,1010.13,
2014,1,6,8,5.03,95.21,0.0,0.0,0.0,283.53,0.58,328.0,1010.86,
2014,1,6,9,6.06,94.59,142.0,662.41,34.0,290.6,0.52,334.0,1011.58,
2014,1,6,10,7.61,90.5,234.0,517.62,93.0,303.9,0.57,337.0,1011.75,
2014,1,6,11,9.15,86.4,344.0,803.81,67.0,317.2,0.61,340.0,1011.91,
2014,1,6,12,10.7,82.31,376.0,797.86,77.0,330.5,0.65,344.0,1012.08,
2014,1,6,13,11.07,80.68,359.0,787.21,75.0,320.65,0.82,347.0,1012.31,
2014,1,6,14,11.43,79.04,305.0,866.23,42.0,310.8,1.0,349.0,1012.54,
2014,1,6,15,11.8,77.41,138.0,231.68,90.0,300.95,1.17,352.0,1012.77,
2014,1,6,16,10.79,81.58,31.0,64.06,26.0,297.55,1.32,13.0,1012.84,
2014,1,6,17,9.78,85.74,0.0,0.0,0.0,294.15,1.47,33.0,1012.91,
2014,1,6,18,8.78,89.91,0.0,0.0,0.0,290.75,1.61,54.0,1012.97,
2014,1,6,19,7.67,93.14,0.0,0.0,0.0,292.72,1.63,10.0,1013.37,
2014,1,6,20,6.56,96.36,0.0,0.0,0.0,294.68,1.65,326.0,1013.77,
2014,1,6,21,5.45,99.59,0.0,0.0,0.0,296.65,1.67,282.0,1014.16,
2014,1,6,22,5.23,99.58,0.0,0.0,0.0,304.3,1.37,290.0,1014.3,
2014,1,6,23,5.02,99.57,0.0,0.0,0.0,311.95,1.07,298.0,1014.43,
2014,1,7,0,4.8,99.56,0.0,0.0,0.0,319.6,0.77,306.0,1014.56,
2014,1,7,1,3.95,99.34,0.0,0.0,0.0,307.8,0.95,298.0,1014.63,
2014,1,7,2,3.1,99.13,0.0,0.0,0.0,296.0,1.12,290.0,1014.69,
2014,1,7,3,2.25,98.91,0.0,0.0,0.0,284.2,1.3,283.0,1014.76,
2014,1,7,4,2.23,98.61,0.0,0.0,0.0,287.05,1.24,281.0,1014.82,
2014,1,7,5,2.21,98.31,0.0,0.0,0.0,289.9,1.19,279.0,1014.89,
2014,1,7,6,2.19,98.01,0.0,0.0,0.0,292.75,1.13,277.0,1014.96,
2014,1,7,7,3.49,96.22,0.0,0.0,0.0,299.82,1.09,277.0,1015.52,
2014,1,7,8,4.8,94.44,0.0,0.0,0.0,306.88,1.05,277.0,1016.08,
2014,1,7,9,6.11,92.65,127.0,433.01,56.0,313.95,1.01,277.0,1016.64,
2014,1,7,10,7.29,89.99,253.0,665.06,71.0,319.25,1.15,267.0,1016.58,
2014,1,7,11,8.48,87.34,165.0,37.55,152.0,324.55,1.29,258.0,1016.51,
2014,1,7,12,9.66,84.68,205.0,69.02,179.0,329.85,1.43,248.0,1016.44,
2014,1,7,13,9.66,86.64,138.0,8.26,135.0,324.73,1.28,246.0,1016.44,
2014,1,7,14,9.65,88.59,303.0,820.03,52.0,319.62,1.13,244.0,1016.44,
2014,1,7,15,9.65,90.55,123.0,138.21,94.0,314.5,0.98,241.0,1016.44,
2014,1,7,16,8.38,93.21,30.0,37.14,27.0,307.07,1.16,245.0,1016.71,
2014,1,7,17,7.12,95.87,0.0,0.0,0.0,299.63,1.34,249.0,1016.97,
2014,1,7,18,5.86,98.53,0.0,0.0,0.0,292.2,1.52,253.0,1017.24,
2014,1,7,19,5.54,98.67,0.0,0.0,0.0,294.62,1.72,261.0,1017.54,
2014,1,7,20,5.22,98.82,0.0,0.0,0.0,297.03,1.92,270.0,1017.83,
2014,1,7,21,4.9,98.96,0.0,0.0,0.0,299.45,2.12,279.0,1018.13,
2014,1,7,22,5.01,98.73,0.0,0.0,0.0,310.1,1.97,276.0,1018.13,
2014,1,7,23,5.13,98.51,0.0,0.0,0.0,320.75,1.82,272.0,1018.13,
2014,1,8,0,5.24,98.28,0.0,0.0,0.0,331.4,1.67,269.0,1018.13,
2014,1,8,1,4.91,98.36,0.0,0.0,0.0,321.95,1.57,270.0,1018.16,
2014,1,8,2,4.57,98.43,0.0,0.0,0.0,312.5,1.48,271.0,1018.2,
2014,1,8,3,4.24,98.51,0.0,0.0,0.0,303.05,1.38,271.0,1018.23,
2014,1,8,4,4.46,98.27,0.0,0.0,0.0,309.93,1.37,270.0,1018.13,
2014,1,8,5,4.68,98.04,0.0,0.0,0.0,316.82,1.37,269.0,1018.03,
2014,1,8,6,4.9,97.8,0.0,0.0,0.0,323.7,1.37,268.0,1017.93,
2014,1,8,7,5.73,96.31,0.0,0.0,0.0,325.82,1.49,268.0,1018.43,
2014,1,8,8,6.56,94.81,0.0,0.0,0.0,327.93,1.61,268.0,1018.92,
2014,1,8,9,7.39,93.32,52.0,6.06,51.0,330.05,1.74,268.0,1019.42,
2014,1,8,10,8.22,91.33,85.0,0.0,85.0,332.5,1.52,262.0,1019.12,
2014,1,8,11,9.04,89.35,175.0,48.86,158.0,334.95,1.31,256.0,1018.82,
2014,1,8,12,9.87,87.36,234.0,126.74,186.0,337.4,1.09,250.0,1018.53,
2014,1,8,13,9.84,89.36,197.0,68.43,172.0,330.7,1.02,247.0,1018.36,
2014,1,8,14,9.8,91.35,167.0,77.75,143.0,324.0,0.94,244.0,1018.2,
2014,1,8,15,9.77,93.35,123.0,131.72,95.0,317.3,0.87,241.0,1018.03,
2014,1,8,16,8.87,95.32,46.0,203.37,29.0,318.68,0.66,247.0,1018.06,
2014,1,8,17,7.97,97.28,0.0,0.0,0.0,320.07,0.46,253.0,1018.1,
2014,1,8,18,7.07,99.25,0.0,0.0,0.0,321.45,0.25,258.0,1018.13,
2014,1,8,19,6.98,99.45,0.0,0.0,0.0,320.72,0.36,260.0,1018.3,
2014,1,8,20,6.89,99.66,0.0,0.0,0.0,319.98,0.48,262.0,1018.46,
2014,1,8,21,6.81,99.86,0.0,0.0,0.0,319.25,0.59,264.0,1018.63,
2014,1,8,22,6.74,99.9,0.0,0.0,0.0,321.43,0.4,261.0,1018.36,
2014,1,8,23,6.67,99.94,0.0,0.0,0.0,323.62,0.22,259.0,1018.1,
2014,1,9,0,6.6,99.98,0.0,0.0,0.0,325.8,0.03,257.0,1017.83,
2014,1,9,1,6.44,99.65,0.0,0.0,0.0,325.3,0.15,260.0,1017.47,
2014,1,9,2,6.29,99.33,0.0,0.0,0.0,324.8,0.28,264.0,1017.11,
2014,1,9,3,6.13,99.0,0.0,0.0,0.0,324.3,0.4,267.0,1016.74,
2014,1,9,4,6.28,99.09,0.0,0.0,0.0,327.63,0.79,265.0,1016.34,
2014,1,9,5,6.44,99.19,0.0,0.0,0.0,330.97,1.18,262.0,1015.95,
2014,1,9,6,6.6,99.28,0.0,0.0,0.0,334.3,1.57,259.0,1015.55,
2014,1,9,7,7.37,98.86,0.0,0.0,0.0,333.55,1.66,257.0,1015.55,
2014,1,9,8,8.14,98.45,0.0,0.0,0.0,332.8,1.76,255.0,1015.55,
2014,1,9,9,8.91,98.03,83.0,78.23,70.0,332.05,1.85,253.0,1015.55,
2014,1,9,10,9.26,94.7,173.0,155.49,130.0,332.63,1.64,251.0,1014.96,
2014,1,9,11,9.61,91.37,212.0,120.07,170.0,333.22,1.43,249.0,1014.36,
2014,1,9,12,9.96,88.04,154.0,10.5,150.0,333.8,1.21,248.0,1013.77,
2014,1,9,13,9.93,89.43,130.0,2.72,129.0,337.47,1.25,244.0,1013.37,
2014,1,9,14,9.9,90.81,118.0,9.64,115.0,341.13,1.28,240.0,1012.97,
2014,1,9,15,9.87,92.2,67.0,4.64,66.0,344.8,1.31,236.0,1012.58,
2014,1,9,16,9.35,93.73,31.0,34.68,28.0,343.33,1.27,236.0,1012.44,
2014,1,9,17,8.83,95.25,0.0,0.0,0.0,341.87,1.23,236.0,1012.31,
2014,1,9,18,8.32,96.78,0.0,0.0,0.0,340.4,1.19,236.0,1012.18,
2014,1,9,19,8.34,97.38,0.0,0.0,0.0,335.05,1.27,238.0,1012.01,
2014,1,9,20,8.36,97.98,0.0,0.0,0.0,329.7,1.35,240.0,1011.85,
2014,1,9,21,8.38,98.58,0.0,0.0,0.0,324.35,1.43,241.0,1011.68,
2014,1,9,22,8.38,98.49,0.0,0.0,0.0,326.87,1.52,243.0,1011.19,
2014,1,9,23,8.37,98.4,0.0,0.0,0.0,329.38,1.61,244.0,1010.69,
2014,1,10,0,8.37,98.31,0.0,0.0,0.0,331.9,1.7,246.0,1010.2,
2014,1,10,1,7.97,98.0,0.0,0.0,0.0,330.92,2.03,247.0,1010.16,
2014,1,10,2,7.58,97.68,0.0,0.0,0.0,329.93,2.37,248.0,1010.13,
2014,1,10,3,7.18,97.37,0.0,0.0,0.0,328.95,2.7,250.0,1010.1,
2014,1,10,4,7.29,97.56,0.0,0.0,0.0,331.03,2.53,250.0,1009.86,
2014,1,10,5,7.4,97.74,0.0,0.0,0.0,333.12,2.35,251.0,1009.63,
2014,1,10,6,7.51,97.93,0.0,0.0,0.0,335.2,2.18,252.0,1009.4,
2014,1,10,7,8.09,97.12,0.0,0.0,0.0,334.32,1.48,254.0,1009.93,
2014,1,10,8,8.68,96.32,0.0,0.0,0.0,333.43,0.78,257.0,1010.46,
2014,1,10,9,9.26,95.51,67.0,23.89,63.0,332.55,0.08,259.0,1010.99,
2014,1,10,10,9.93,92.0,109.0,10.79,106.0,328.22,0.86,258.0,1010.92,
2014,1,10,11,10.61,88.5,172.0,42.65,157.0,323.88,1.64,257.0,1010.86,
2014,1,10,12,11.28,84.99,92.0,0.0,92.0,319.55,2.41,256.0,1010.79,
2014,1,10,13,11.18,86.57,171.0,29.7,160.0,319.62,2.33,249.0,1010.89,
2014,1,10,14,11.07,88.14,142.0,28.65,133.0,319.68,2.24,243.0,1010.99,
2014,1,10,15,10.97,89.72,71.0,4.58,70.0,319.75,2.15,236.0,1011.09,
2014,1,10,16,10.06,92.06,22.0,0.0,22.0,316.85,2.02,231.0,1011.45,
2014,1,10,17,9.15,94.4,0.0,0.0,0.0,313.95,1.89,226.0,1011.82,
2014,1,10,18,8.24,96.74,0.0,0.0,0.0,311.05,1.77,221.0,1012.18,
2014,1,10,19,7.72,97.81,0.0,0.0,0.0,307.7,1.4,243.0,1012.58,
2014,1,10,20,7.2,98.87,0.0,0.0,0.0,304.35,1.04,266.0,1012.97,
2014,1,10,21,6.68,99.94,0.0,0.0,0.0,301.0,0.68,289.0,1013.37,
2014,1,10,22,6.46,99.78,0.0,0.0,0.0,299.27,0.8,284.0,1013.37,
2014,1,10,23,6.25,99.62,0.0,0.0,0.0,297.53,0.93,280.0,1013.37,
2014,1,11,0,6.03,99.46,0.0,0.0,0.0,295.8,1.06,275.0,1013.37,
2014,1,11,1,6.28,99.04,0.0,0.0,0.0,306.18,1.06,293.0,1013.47,
2014,1,11,2,6.54,98.61,0.0,0.0,0.0,316.57,1.06,310.0,1013.57,
2014,1,11,3,6.79,98.19,0.0,0.0,0.0,326.95,1.06,328.0,1013.67,
2014,1,11,4,6.62,98.04,0.0,0.0,0.0,329.83,1.09,310.0,1013.67,
2014,1,11,5,6.45,97.88,0.0,0.0,0.0,332.72,1.11,293.0,1013.67,
2014,1,11,6,6.29,97.73,0.0,0.0,0.0,335.6,1.13,276.0,1013.67,
2014,1,11,7,6.81,97.06,0.0,0.0,0.0,334.7,1.03,281.0,1014.03,
2014,1,11,8,7.33,96.4,0.0,0.0,0.0,333.8,0.93,286.0,1014.39,
2014,1,11,9,7.85,95.73,28.0,0.0,28.0,332.9,0.83,291.0,1014.76,
2014,1,11,10,8.52,94.08,52.0,0.0,52.0,335.05,0.82,282.0,1014.46,
2014,1,11,11,9.19,92.43,54.0,0.0,54.0,337.2,0.82,272.0,1014.16,
2014,1,11,12,9.86,90.78,99.0,0.0,99.0,339.35,0.81,262.0,1013.87,
2014,1,11,13,9.93,91.08,99.0,0.0,99.0,337.8,0.97,273.0,1013.67,
2014,1,11,14,9.99,91.38,234.0,287.06,143.0,336.25,1.12,283.0,1013.47,
2014,1,11,15,10.06,91.68,112.0,72.29,96.0,334.7,1.27,293.0,1013.27,
2014,1,11,16,9.2,93.53,29.0,10.81,28.0,333.97,1.38,288.0,1013.34,
2014,1,11,17,8.34,95.38,0.0,0.0,0.0,333.23,1.49,282.0,1013.4,
2014,1,11,18,7.49,97.23,0.0,0.0,0.0,332.5,1.6,277.0,1013.47,
2014,1,11,19,7.21,97.85,0.0,0.0,0.0,331.27,1.53,273.0,1013.53,
2014,1,11,20,6.94,98.46,0.0,0.0,0.0,330.03,1.46,269.0,1013.6,
2014,1,11,21,6.67,99.08,0.0,0.0,0.0,328.8,1.39,265.0,1013.67,
2014,1,11,22,6.31,99.19,0.0,0.0,0.0,329.57,1.38,272.0,1013.67,
2014,1,11,23,5.94,99.3,0.0,0.0,0.0,330.33,1.37,280.0,1013.67,
2014,1,12,0,5.58,99.41,0.0,0.0,0.0,331.1,1.37,287.0,1013.67,
2014,1,12,1,5.49,98.44,0.0,0.0,0.0,330.67,1.2,292.0,1013.73,
2014,1,12,2,5.4,97.46,0.0,0.0,0.0,330.23,1.03,297.0,1013.8,
2014,1,12,3,5.31,96.49,0.0,0.0,0.0,329.8,0.87,302.0,1013.87,
2014,1,12,4,4.97,95.86,0.0,0.0,0.0,329.07,0.87,290.0,1014.03,
2014,1,12,5,4.63,95.24,0.0,0.0,0.0,328.33,0.87,277.0,1014.2,
2014,1,12,6,4.29,94.61,0.0,0.0,0.0,327.6,0.87,265.0,1014.36,
2014,1,12,7,5.36,94.23,0.0,0.0,0.0,326.75,0.91,289.0,1014.82,
2014,1,12,8,6.44,93.84,0.0,0.0,0.0,325.9,0.94,312.0,1015.29,
2014,1,12,9,7.52,93.46,83.0,70.44,71.0,325.05,0.98,336.0,1015.75,
2014,1,12,10,8.86,88.27,132.0,39.04,121.0,323.45,0.99,6.0,1015.49,
2014,1,12,11,10.19,83.09,146.0,14.04,141.0,321.85,1.0,35.0,1015.22,
2014,1,12,12,11.53,77.9,160.0,12.88,155.0,320.25,1.01,65.0,1014.96,
2014,1,12,13,11.3,80.29,190.0,47.9,172.0,312.35,1.03,91.0,1014.59,
2014,1,12,14,11.06,82.67,148.0,34.38,137.0,304.45,1.06,117.0,1014.23,
2014,1,12,15,10.83,85.06,99.0,35.64,91.0,296.55,1.09,144.0,1013.87,
2014,1,12,16,9.97,87.53,33.0,20.9,31.0,294.2,1.03,146.0,1014.0,
2014,1,12,17,9.11,90.0,0.0,0.0,0.0,291.85,0.97,149.0,1014.13,
2014,1,12,18,8.26,92.47,0.0,0.0,0.0,289.5,0.91,152.0,1014.26,
2014,1,12,19,7.39,94.86,0.0,0.0,0.0,283.08,0.77,129.0,1014.39,
2014,1,12,20,6.53,97.26,0.0,0.0,0.0,276.67,0.63,107.0,1014.53,
2014,1,12,21,5.67,99.65,0.0,0.0,0.0,270.25,0.5,85.0,1014.66,
2014,1,12,22,4.84,99.66,0.0,0.0,0.0,272.22,0.75,41.0,1014.43,
2014,1,12,23,4.0,99.67,0.0,0.0,0.0,274.18,1.0,357.0,1014.2,
2014,1,13,0,3.17,99.68,0.0,0.0,0.0,276.15,1.26,313.0,1013.96,
2014,1,13,1,3.06,98.52,0.0,0.0,0.0,290.13,1.1,339.0,1013.9,
2014,1,13,2,2.96,97.37,0.0,0.0,0.0,304.12,0.94,5.0,1013.83,
2014,1,13,3,2.85,96.21,0.0,0.0,0.0,318.1,0.79,31.0,1013.77,
2014,1,13,4,3.12,95.18,0.0,0.0,0.0,321.72,0.74,58.0,1013.5,
2014,1,13,5,3.4,94.16,0.0,0.0,0.0,325.33,0.69,84.0,1013.24,
2014,1,13,6,3.68,93.13,0.0,0.0,0.0,328.95,0.63,110.0,1012.97,
