Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,4250,Ouesso,COG,Congo (Brazzaville),1.60999086396,16.0500174547,1,349.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2006,1,1,0,24.55,91.81,0.0,0.0,0.0,406.75,1.74,159.0,969.96,
2006,1,1,1,24.39,93.03,0.0,0.0,0.0,409.17,1.73,194.0,968.87,
2006,1,1,2,24.23,94.26,0.0,0.0,0.0,411.59,1.71,195.0,968.65,
2006,1,1,3,24.06,95.48,0.0,0.0,0.0,414.0,1.7,196.0,968.42,
2006,1,1,4,23.9,96.71,0.0,0.0,0.0,416.42,1.68,198.0,968.81,
2006,1,1,5,23.74,97.93,0.0,0.0,0.0,418.83,1.67,199.0,969.19,
2006,1,1,6,23.57,99.16,0.0,0.0,0.0,421.25,1.65,200.0,969.57,
2006,1,1,7,23.41,100.0,148.0,208.97,94.9,423.66,1.64,198.0,969.57,
2006,1,1,8,23.24,100.0,334.0,238.85,221.0,426.08,1.62,196.0,969.57,
2006,1,1,9,26.77,91.87,507.9,417.91,232.45,424.15,1.23,194.0,969.57,
2006,1,1,10,27.65,84.75,648.0,337.73,378.0,420.82,0.92,195.0,968.46,
2006,1,1,11,28.53,77.64,633.0,200.09,456.0,417.48,0.62,196.0,967.34,
2006,1,1,12,29.41,70.52,885.0,636.09,307.0,414.15,0.32,197.0,966.22,
2006,1,1,13,29.51,71.62,853.0,662.0,277.0,417.43,0.47,202.0,965.77,
2006,1,1,14,29.61,72.73,753.0,672.75,234.0,420.72,0.63,208.0,965.32,
2006,1,1,15,29.71,73.83,589.0,655.36,183.0,424.0,0.79,213.0,964.87,
2006,1,1,16,28.57,79.7,361.0,494.6,151.0,423.23,0.92,195.0,965.64,
2006,1,1,17,27.43,85.57,137.0,300.02,77.0,422.47,1.06,178.0,966.41,
2006,1,1,18,26.29,91.44,0.0,0.0,0.0,421.7,1.2,160.0,967.18,
2006,1,1,19,25.76,93.01,0.0,0.0,0.0,418.43,1.3,168.0,968.07,
2006,1,1,20,25.24,94.57,0.0,0.0,0.0,415.17,1.39,176.0,968.97,
2006,1,1,21,24.72,96.14,0.0,0.0,0.0,411.9,1.49,184.0,969.86,
2006,1,1,22,24.56,96.86,0.0,0.0,0.0,410.73,1.6,183.0,969.67,
2006,1,1,23,24.39,97.58,0.0,0.0,0.0,409.57,1.7,181.0,969.48,
2006,1,2,0,24.22,98.3,0.0,0.0,0.0,408.4,1.81,180.0,969.29,
2006,1,2,1,23.69,98.73,0.0,0.0,0.0,407.67,1.68,176.0,968.77,
2006,1,2,2,23.16,99.16,0.0,0.0,0.0,406.93,1.56,171.0,968.26,
2006,1,2,3,22.63,99.59,0.0,0.0,0.0,406.2,1.43,167.0,967.75,
2006,1,2,4,22.88,99.11,0.0,0.0,0.0,409.2,1.44,170.0,968.2,
2006,1,2,5,23.14,98.63,0.0,0.0,0.0,412.2,1.44,173.0,968.65,
2006,1,2,6,23.39,98.15,0.0,0.0,0.0,415.2,1.45,176.0,969.09,
2006,1,2,7,24.62,95.12,147.6,213.0,93.8,416.58,1.54,174.0,969.22,
2006,1,2,8,25.86,92.09,307.0,175.88,224.0,417.97,1.63,171.0,969.35,
2006,1,2,9,27.09,89.06,533.95,465.25,227.65,419.35,1.72,169.0,969.48,
2006,1,2,10,27.53,86.93,784.0,674.45,245.0,420.93,1.47,153.0,968.55,
2006,1,2,11,27.96,84.8,872.0,667.96,281.0,422.52,1.21,138.0,967.62,
2006,1,2,12,28.4,82.67,901.0,676.31,286.0,424.1,0.95,122.0,966.7,
2006,1,2,13,28.1,84.74,781.0,480.95,362.0,423.4,0.8,155.0,965.99,
2006,1,2,14,27.8,86.82,637.0,366.14,354.0,422.7,0.64,188.0,965.29,
2006,1,2,15,27.5,88.89,409.0,165.79,306.0,422.0,0.48,221.0,964.59,
2006,1,2,16,26.84,91.73,236.0,96.14,195.0,420.13,0.76,222.0,965.39,
2006,1,2,17,26.17,94.56,97.0,79.25,81.0,418.27,1.03,222.0,966.18,
2006,1,2,18,25.51,97.4,0.0,0.0,0.0,416.4,1.31,223.0,966.98,
2006,1,2,19,25.0,97.91,0.0,0.0,0.0,415.0,1.35,223.0,967.78,
2006,1,2,20,24.49,98.42,0.0,0.0,0.0,413.6,1.38,224.0,968.58,
2006,1,2,21,23.98,98.93,0.0,0.0,0.0,412.2,1.42,224.0,969.38,
2006,1,2,22,23.93,99.01,0.0,0.0,0.0,418.38,1.48,227.0,969.09,
2006,1,2,23,23.88,99.09,0.0,0.0,0.0,424.57,1.54,230.0,968.81,
2006,1,3,0,23.83,99.17,0.0,0.0,0.0,430.75,1.6,233.0,968.52,
2006,1,3,1,23.61,99.22,0.0,0.0,0.0,428.28,1.59,233.0,967.91,
2006,1,3,2,23.39,99.26,0.0,0.0,0.0,425.82,1.57,234.0,967.3,
2006,1,3,3,23.16,99.31,0.0,0.0,0.0,423.35,1.56,234.0,966.7,
2006,1,3,4,23.32,99.39,0.0,0.0,0.0,424.55,1.74,227.0,967.21,
2006,1,3,5,23.48,99.46,0.0,0.0,0.0,425.75,1.93,219.0,967.72,
2006,1,3,6,23.63,99.54,0.0,0.0,0.0,426.95,2.11,212.0,968.23,
2006,1,3,7,24.83,96.77,146.35,208.67,93.95,424.22,1.89,212.0,968.3,
2006,1,3,8,26.04,94.01,338.0,257.02,217.0,421.48,1.67,213.0,968.36,
2006,1,3,9,27.24,91.24,532.35,453.52,234.1,418.75,1.45,214.0,968.42,
2006,1,3,10,27.47,89.36,819.0,784.81,192.0,417.07,1.07,236.0,967.3,
2006,1,3,11,27.69,87.49,897.0,736.7,245.0,415.38,0.69,259.0,966.18,
2006,1,3,12,27.92,85.61,968.0,865.87,180.0,413.7,0.32,282.0,965.07,
2006,1,3,13,28.15,84.21,895.0,772.62,221.0,412.83,0.3,294.0,964.65,
2006,1,3,14,28.37,82.8,773.0,728.26,209.0,411.97,0.29,306.0,964.23,
2006,1,3,15,28.6,81.4,584.0,621.17,197.0,411.1,0.28,318.0,963.82,
2006,1,3,16,27.83,84.83,351.0,434.19,165.0,408.0,0.47,270.0,964.39,
2006,1,3,17,27.07,88.27,132.0,240.41,83.0,404.9,0.66,222.0,964.97,
2006,1,3,18,26.3,91.7,0.0,0.0,0.0,401.8,0.86,175.0,965.55,
2006,1,3,19,25.52,93.84,0.0,0.0,0.0,399.87,0.98,184.0,966.54,
2006,1,3,20,24.74,95.99,0.0,0.0,0.0,397.93,1.1,194.0,967.53,
2006,1,3,21,23.96,98.13,0.0,0.0,0.0,396.0,1.23,203.0,968.52,
2006,1,3,22,23.78,98.48,0.0,0.0,0.0,395.92,1.2,213.0,968.3,
2006,1,3,23,23.6,98.82,0.0,0.0,0.0,395.83,1.18,223.0,968.07,
2006,1,4,0,23.42,99.17,0.0,0.0,0.0,395.75,1.16,233.0,967.85,
2006,1,4,1,22.86,99.08,0.0,0.0,0.0,399.33,1.2,233.0,967.43,
2006,1,4,2,22.29,99.0,0.0,0.0,0.0,402.92,1.25,233.0,967.02,
2006,1,4,3,21.72,98.91,0.0,0.0,0.0,406.5,1.3,233.0,966.6,
2006,1,4,4,21.79,98.73,0.0,0.0,0.0,409.67,1.26,223.0,967.24,
2006,1,4,5,21.85,98.55,0.0,0.0,0.0,412.83,1.23,213.0,967.88,
2006,1,4,6,21.92,98.37,0.0,0.0,0.0,416.0,1.2,203.0,968.52,
2006,1,4,7,23.02,95.76,146.15,211.89,93.25,419.1,1.62,207.0,968.93,
2006,1,4,8,24.13,93.16,54.0,0.0,54.0,422.2,2.04,212.0,969.35,
2006,1,4,9,25.23,90.55,548.45,491.88,225.3,425.3,2.46,216.0,969.77,
2006,1,4,10,25.83,87.84,73.0,0.0,73.0,426.28,2.39,219.0,968.58,
2006,1,4,11,26.44,85.13,82.0,0.0,82.0,427.27,2.32,221.0,967.4,
2006,1,4,12,27.04,82.42,85.0,0.0,85.0,428.25,2.25,223.0,966.22,
2006,1,4,13,27.11,82.53,112.0,0.0,112.0,426.33,1.95,230.0,965.67,
2006,1,4,14,27.18,82.65,164.0,0.0,164.0,424.42,1.66,237.0,965.13,
2006,1,4,15,27.25,82.76,160.0,0.0,160.0,422.5,1.37,244.0,964.59,
2006,1,4,16,26.55,86.31,152.0,6.97,149.0,423.87,1.29,240.0,965.13,
2006,1,4,17,25.86,89.86,73.0,19.44,69.0,425.23,1.21,236.0,965.67,
2006,1,4,18,25.16,93.41,0.0,0.0,0.0,426.6,1.13,232.0,966.22,
2006,1,4,19,24.75,94.38,0.0,0.0,0.0,425.13,1.26,226.0,967.02,
2006,1,4,20,24.34,95.36,0.0,0.0,0.0,423.67,1.39,220.0,967.82,
2006,1,4,21,23.93,96.33,0.0,0.0,0.0,422.2,1.52,214.0,968.61,
2006,1,4,22,23.8,96.66,0.0,0.0,0.0,421.17,1.57,214.0,968.36,
2006,1,4,23,23.67,96.98,0.0,0.0,0.0,420.13,1.63,215.0,968.1,
2006,1,5,0,23.53,97.31,0.0,0.0,0.0,419.1,1.68,215.0,967.85,
2006,1,5,1,23.12,97.15,0.0,0.0,0.0,419.18,1.76,211.0,967.62,
2006,1,5,2,22.7,96.98,0.0,0.0,0.0,419.27,1.84,206.0,967.4,
2006,1,5,3,22.28,96.82,0.0,0.0,0.0,419.35,1.92,201.0,967.18,
2006,1,5,4,22.5,96.27,0.0,0.0,0.0,421.02,1.73,198.0,967.66,
2006,1,5,5,22.72,95.72,0.0,0.0,0.0,422.68,1.55,195.0,968.14,
2006,1,5,6,22.94,95.17,0.0,0.0,0.0,424.35,1.37,192.0,968.61,
2006,1,5,7,24.43,89.86,145.1,211.07,92.7,422.53,1.39,194.0,968.74,
2006,1,5,8,25.91,84.54,53.0,0.0,53.0,420.72,1.41,196.0,968.87,
2006,1,5,9,27.4,79.23,554.95,488.69,234.2,418.9,1.43,198.0,969.0,
2006,1,5,10,27.78,77.91,262.0,1.25,261.0,417.7,0.99,178.0,967.62,
2006,1,5,11,28.16,76.59,287.0,1.13,286.0,416.5,0.55,158.0,966.25,
2006,1,5,12,28.54,75.27,667.0,216.09,470.0,415.3,0.11,138.0,964.87,
2006,1,5,13,28.26,76.68,815.0,550.99,333.0,416.9,0.17,193.0,964.68,
2006,1,5,14,27.97,78.09,751.0,649.46,246.0,418.5,0.24,247.0,964.49,
2006,1,5,15,27.69,79.5,420.0,177.14,309.0,420.1,0.3,301.0,964.3,
2006,1,5,16,26.8,84.74,329.0,333.16,185.0,416.38,0.46,266.0,965.0,
2006,1,5,17,25.9,89.97,140.0,274.51,83.0,412.67,0.62,231.0,965.71,
2006,1,5,18,25.01,95.21,0.0,0.0,0.0,408.95,0.77,195.0,966.41,
2006,1,5,19,24.37,96.49,0.0,0.0,0.0,406.48,1.02,190.0,967.14,
2006,1,5,20,23.74,97.77,0.0,0.0,0.0,404.02,1.26,184.0,967.88,
2006,1,5,21,23.1,99.05,0.0,0.0,0.0,401.55,1.5,178.0,968.61,
2006,1,5,22,22.87,99.23,0.0,0.0,0.0,398.55,1.45,177.0,968.46,
2006,1,5,23,22.64,99.42,0.0,0.0,0.0,395.55,1.4,175.0,968.3,
2006,1,6,0,22.41,99.6,0.0,0.0,0.0,392.55,1.35,173.0,968.14,
2006,1,6,1,21.89,99.61,0.0,0.0,0.0,393.22,1.35,168.0,967.69,
2006,1,6,2,21.37,99.61,0.0,0.0,0.0,393.88,1.34,163.0,967.24,
2006,1,6,3,20.85,99.62,0.0,0.0,0.0,394.55,1.34,157.0,966.79,
2006,1,6,4,21.3,98.83,0.0,0.0,0.0,396.0,1.27,161.0,967.34,
2006,1,6,5,21.76,98.03,0.0,0.0,0.0,397.45,1.2,165.0,967.88,
2006,1,6,6,22.21,97.24,0.0,0.0,0.0,398.9,1.13,169.0,968.42,
2006,1,6,7,24.36,90.24,141.85,205.97,91.0,403.42,1.31,155.0,968.46,
2006,1,6,8,26.5,83.23,220.0,40.63,201.0,407.93,1.49,141.0,968.49,
2006,1,6,9,28.65,76.23,559.6,502.23,230.25,412.45,1.67,127.0,968.52,
2006,1,6,10,28.77,75.62,814.0,770.2,199.0,413.77,1.54,116.0,967.43,
2006,1,6,11,28.89,75.0,928.0,824.99,197.0,415.08,1.4,106.0,966.34,
2006,1,6,12,29.01,74.39,976.0,882.16,171.0,416.4,1.27,96.0,965.26,
2006,1,6,13,28.7,76.98,914.0,818.43,197.0,416.25,1.06,107.0,964.94,
2006,1,6,14,28.38,79.57,804.0,814.97,169.0,416.1,0.85,117.0,964.62,
2006,1,6,15,28.07,82.16,606.0,685.82,175.0,415.95,0.63,128.0,964.3,
2006,1,6,16,27.09,87.29,371.0,502.13,153.0,414.23,0.8,137.0,965.29,
2006,1,6,17,26.11,92.43,135.0,238.62,85.0,412.52,0.96,147.0,966.28,
2006,1,6,18,25.13,97.56,0.0,0.0,0.0,410.8,1.12,156.0,967.27,
2006,1,6,19,24.64,98.17,0.0,0.0,0.0,407.55,1.2,161.0,967.91,
2006,1,6,20,24.14,98.77,0.0,0.0,0.0,404.3,1.28,165.0,968.55,
2006,1,6,21,23.65,99.38,0.0,0.0,0.0,401.05,1.37,169.0,969.19,
2006,1,6,22,23.39,99.53,0.0,0.0,0.0,397.43,1.35,174.0,968.9,
2006,1,6,23,23.12,99.68,0.0,0.0,0.0,393.82,1.33,179.0,968.61,
2006,1,7,0,22.85,99.83,0.0,0.0,0.0,390.2,1.31,185.0,968.33,
2006,1,7,1,22.76,99.52,0.0,0.0,0.0,394.28,1.39,174.0,967.75,
2006,1,7,2,22.66,99.22,0.0,0.0,0.0,398.37,1.47,163.0,967.18,
2006,1,7,3,22.56,98.91,0.0,0.0,0.0,402.45,1.54,152.0,966.6,
2006,1,7,4,22.86,98.57,0.0,0.0,0.0,408.17,1.43,150.0,967.27,
2006,1,7,5,23.17,98.23,0.0,0.0,0.0,413.88,1.32,148.0,967.94,
2006,1,7,6,23.47,97.89,0.0,0.0,0.0,419.6,1.21,147.0,968.61,
2006,1,7,7,24.77,94.64,148.65,225.83,93.2,424.68,1.36,134.0,968.71,
2006,1,7,8,26.07,91.38,379.0,405.0,190.0,429.77,1.51,121.0,968.81,
2006,1,7,9,27.37,88.13,575.05,531.93,226.5,434.85,1.66,108.0,968.9,
2006,1,7,10,27.4,88.38,796.0,713.88,226.0,430.42,1.51,96.0,967.82,
2006,1,7,11,27.42,88.62,918.0,795.24,213.0,425.98,1.37,85.0,966.73,
2006,1,7,12,27.45,88.87,952.0,805.74,216.0,421.55,1.23,73.0,965.64,
2006,1,7,13,27.07,89.54,788.0,483.25,364.0,420.23,0.9,51.0,965.42,
2006,1,7,14,26.7,90.21,789.0,758.19,197.0,418.92,0.57,29.0,965.19,
2006,1,7,15,26.32,90.88,501.0,344.29,284.0,417.6,0.25,8.0,964.97,
2006,1,7,16,25.89,93.17,365.0,467.8,161.0,418.75,0.39,356.0,965.96,
2006,1,7,17,25.45,95.46,13.0,0.0,13.0,419.9,0.52,345.0,966.95,
2006,1,7,18,25.02,97.75,0.0,0.0,0.0,421.05,0.66,333.0,967.94,
2006,1,7,19,24.78,98.02,0.0,0.0,0.0,424.45,0.64,300.0,968.49,
2006,1,7,20,24.55,98.28,0.0,0.0,0.0,427.85,0.63,266.0,969.03,
2006,1,7,21,24.32,98.55,0.0,0.0,0.0,431.25,0.61,233.0,969.57,
2006,1,7,22,24.26,98.77,0.0,0.0,0.0,431.13,0.84,229.0,969.22,
2006,1,7,23,24.21,98.99,0.0,0.0,0.0,431.02,1.07,225.0,968.87,
2006,1,8,0,24.15,99.21,0.0,0.0,0.0,430.9,1.3,220.0,968.52,
2006,1,8,1,23.9,99.31,0.0,0.0,0.0,430.2,1.37,201.0,968.01,
2006,1,8,2,23.65,99.42,0.0,0.0,0.0,429.5,1.45,182.0,967.5,
2006,1,8,3,23.4,99.52,0.0,0.0,0.0,428.8,1.53,163.0,966.98,
2006,1,8,4,23.56,99.35,0.0,0.0,0.0,429.72,1.63,164.0,967.53,
2006,1,8,5,23.72,99.17,0.0,0.0,0.0,430.63,1.73,165.0,968.07,
2006,1,8,6,23.87,99.0,0.0,0.0,0.0,431.55,1.83,166.0,968.61,
2006,1,8,7,24.82,96.72,148.45,229.28,92.45,429.68,1.99,165.0,968.84,
2006,1,8,8,25.77,94.43,284.0,135.27,221.0,427.82,2.14,163.0,969.06,
2006,1,8,9,26.72,92.15,582.5,545.76,225.15,425.95,2.29,162.0,969.29,
2006,1,8,10,26.9,91.56,332.0,11.27,323.0,424.88,1.76,142.0,968.04,
2006,1,8,11,27.07,90.98,179.0,0.0,179.0,423.82,1.22,122.0,966.79,
2006,1,8,12,27.25,90.39,339.0,3.28,336.0,422.75,0.69,101.0,965.55,
2006,1,8,13,27.27,87.53,152.0,0.0,152.0,421.82,0.73,159.0,965.35,
2006,1,8,14,27.28,84.66,156.0,0.0,156.0,420.88,0.77,218.0,965.16,
2006,1,8,15,27.3,81.8,153.0,0.0,153.0,419.95,0.81,276.0,964.97,
2006,1,8,16,26.48,86.03,69.0,0.0,69.0,416.12,0.95,261.0,965.64,
2006,1,8,17,25.65,90.25,20.0,0.0,20.0,412.28,1.09,247.0,966.31,
2006,1,8,18,24.83,94.48,0.0,0.0,0.0,408.45,1.23,232.0,966.98,
2006,1,8,19,24.22,95.59,0.0,0.0,0.0,403.65,1.22,228.0,967.82,
2006,1,8,20,23.62,96.7,0.0,0.0,0.0,398.85,1.22,223.0,968.65,
2006,1,8,21,23.01,97.81,0.0,0.0,0.0,394.05,1.21,219.0,969.48,
2006,1,8,22,22.9,98.09,0.0,0.0,0.0,392.85,1.24,220.0,969.19,
2006,1,8,23,22.79,98.38,0.0,0.0,0.0,391.65,1.26,222.0,968.9,
2006,1,9,0,22.67,98.66,0.0,0.0,0.0,390.45,1.28,224.0,968.61,
2006,1,9,1,22.22,98.91,0.0,0.0,0.0,391.87,1.24,219.0,968.17,
2006,1,9,2,21.76,99.15,0.0,0.0,0.0,393.28,1.19,214.0,967.72,
2006,1,9,3,21.31,99.4,0.0,0.0,0.0,394.7,1.14,209.0,967.27,
2006,1,9,4,21.65,98.81,0.0,0.0,0.0,396.82,1.31,204.0,967.72,
2006,1,9,5,21.99,98.21,0.0,0.0,0.0,398.93,1.47,200.0,968.17,
2006,1,9,6,22.33,97.62,0.0,0.0,0.0,401.05,1.63,196.0,968.61,
2006,1,9,7,24.6,89.11,152.55,247.35,92.45,408.97,1.49,195.0,968.68,
2006,1,9,8,26.87,80.61,131.0,0.0,131.0,416.88,1.36,195.0,968.74,
2006,1,9,9,29.14,72.1,587.4,555.28,224.05,424.8,1.23,194.0,968.81,
2006,1,9,10,30.07,67.41,155.0,0.0,155.0,422.07,0.92,165.0,967.66,
2006,1,9,11,30.99,62.72,228.0,0.0,228.0,419.33,0.62,135.0,966.5,
2006,1,9,12,31.92,58.03,422.0,20.76,403.0,416.6,0.32,106.0,965.35,
2006,1,9,13,31.29,61.17,505.0,74.99,439.0,418.85,0.51,159.0,965.1,
2006,1,9,14,30.67,64.32,716.1,600.14,245.5,421.1,0.71,213.0,964.84,
2006,1,9,15,30.04,67.46,543.25,526.17,209.65,423.35,0.91,267.0,964.59,
2006,1,9,16,28.75,74.94,377.0,506.87,154.0,418.67,1.09,254.0,965.48,
2006,1,9,17,27.47,82.42,131.0,190.53,90.0,413.98,1.26,240.0,966.38,
2006,1,9,18,26.18,89.9,0.0,0.0,0.0,409.3,1.43,227.0,967.27,
2006,1,9,19,25.5,91.91,0.0,0.0,0.0,406.38,1.43,221.0,968.17,
2006,1,9,20,24.81,93.92,0.0,0.0,0.0,403.47,1.42,216.0,969.06,
2006,1,9,21,24.13,95.93,0.0,0.0,0.0,400.55,1.41,210.0,969.96,
2006,1,9,22,23.91,96.59,0.0,0.0,0.0,398.98,1.36,207.0,969.73,
2006,1,9,23,23.68,97.24,0.0,0.0,0.0,397.42,1.31,204.0,969.51,
2006,1,10,0,23.45,97.9,0.0,0.0,0.0,395.85,1.27,201.0,969.29,
2006,1,10,1,22.9,98.01,0.0,0.0,0.0,395.0,1.38,191.0,969.0,
2006,1,10,2,22.35,98.11,0.0,0.0,0.0,394.15,1.5,182.0,968.71,
2006,1,10,3,21.8,98.22,0.0,0.0,0.0,393.3,1.61,172.0,968.42,
2006,1,10,4,21.94,98.18,0.0,0.0,0.0,395.42,1.69,176.0,969.03,
2006,1,10,5,22.09,98.15,0.0,0.0,0.0,397.53,1.77,180.0,969.64,
2006,1,10,6,22.23,98.11,0.0,0.0,0.0,399.65,1.85,184.0,970.25,
2006,1,10,7,23.57,94.17,146.95,227.5,91.95,407.1,2.0,189.0,970.53,
2006,1,10,8,24.92,90.22,325.0,234.89,216.0,414.55,2.15,195.0,970.82,
2006,1,10,9,26.26,86.28,569.15,518.21,230.25,422.0,2.3,200.0,971.11,
2006,1,10,10,26.55,85.84,770.0,634.82,263.0,420.88,1.71,212.0,970.02,
2006,1,10,11,26.83,85.4,830.0,555.08,337.0,419.77,1.11,223.0,968.93,
2006,1,10,12,27.12,84.96,847.0,527.04,364.0,418.65,0.51,234.0,967.85,
2006,1,10,13,26.3,88.74,531.0,94.15,448.0,420.22,0.83,251.0,967.91,
2006,1,10,14,25.49,92.51,512.0,142.52,400.0,421.78,1.15,267.0,967.98,
2006,1,10,15,24.67,96.29,309.0,39.31,284.0,423.35,1.48,283.0,968.04,
2006,1,10,16,24.11,97.19,263.0,128.99,206.0,417.07,1.5,269.0,968.61,
2006,1,10,17,23.56,98.09,129.0,175.08,91.0,410.78,1.52,254.0,969.19,
2006,1,10,18,23.0,98.99,0.0,0.0,0.0,404.5,1.54,240.0,969.77,
2006,1,10,19,22.73,99.23,0.0,0.0,0.0,402.75,1.5,237.0,970.34,
2006,1,10,20,22.45,99.46,0.0,0.0,0.0,401.0,1.46,234.0,970.92,
2006,1,10,21,22.18,99.7,0.0,0.0,0.0,399.25,1.42,230.0,971.49,
2006,1,10,22,22.17,99.68,0.0,0.0,0.0,404.67,1.4,226.0,971.33,
2006,1,10,23,22.16,99.66,0.0,0.0,0.0,410.08,1.38,221.0,971.17,
2006,1,11,0,22.14,99.64,0.0,0.0,0.0,415.5,1.37,216.0,971.01,
2006,1,11,1,22.04,99.65,0.0,0.0,0.0,419.95,1.35,201.0,970.79,
2006,1,11,2,21.93,99.66,0.0,0.0,0.0,424.4,1.33,185.0,970.57,
2006,1,11,3,21.82,99.67,0.0,0.0,0.0,428.85,1.31,170.0,970.34,
2006,1,11,4,22.04,99.32,0.0,0.0,0.0,428.12,1.26,172.0,970.69,
2006,1,11,5,22.26,98.98,0.0,0.0,0.0,427.38,1.2,173.0,971.05,
2006,1,11,6,22.48,98.63,0.0,0.0,0.0,426.65,1.14,175.0,971.4,
2006,1,11,7,23.78,94.38,147.55,230.7,92.05,422.4,1.14,181.0,971.4,
2006,1,11,8,25.09,90.14,411.0,552.61,155.0,418.15,1.14,187.0,971.4,
2006,1,11,9,26.39,85.89,562.95,516.7,225.2,413.9,1.13,193.0,971.4,
2006,1,11,10,27.11,82.68,814.0,769.9,199.0,413.65,0.95,150.0,970.25,
2006,1,11,11,27.83,79.47,726.0,337.53,426.0,413.4,0.76,107.0,969.09,
2006,1,11,12,28.55,76.26,884.0,612.52,322.0,413.15,0.58,64.0,967.94,
2006,1,11,13,28.83,74.9,828.0,563.99,330.0,415.85,0.47,8.0,967.27,
2006,1,11,14,29.12,73.54,780.0,705.96,224.0,418.55,0.37,311.0,966.6,
2006,1,11,15,29.4,72.18,511.0,354.35,285.0,421.25,0.26,254.0,965.93,
2006,1,11,16,27.99,79.97,325.0,288.4,197.0,419.28,0.59,220.0,966.47,
2006,1,11,17,26.58,87.76,97.0,54.82,85.0,417.32,0.92,185.0,967.02,
2006,1,11,18,25.17,95.55,0.0,0.0,0.0,415.35,1.26,150.0,967.56,
2006,1,11,19,24.64,96.39,0.0,0.0,0.0,411.4,1.25,150.0,968.33,
2006,1,11,20,24.11,97.22,0.0,0.0,0.0,407.45,1.25,150.0,969.09,
2006,1,11,21,23.58,98.06,0.0,0.0,0.0,403.5,1.24,150.0,969.86,
2006,1,11,22,23.37,98.36,0.0,0.0,0.0,400.48,1.24,152.0,969.8,
2006,1,11,23,23.16,98.66,0.0,0.0,0.0,397.47,1.23,154.0,969.73,
2006,1,12,0,22.95,98.96,0.0,0.0,0.0,394.45,1.23,156.0,969.67,
2006,1,12,1,22.56,99.01,0.0,0.0,0.0,396.25,1.27,150.0,969.29,
2006,1,12,2,22.17,99.06,0.0,0.0,0.0,398.05,1.32,144.0,968.9,
2006,1,12,3,21.77,99.11,0.0,0.0,0.0,399.85,1.37,138.0,968.52,
2006,1,12,4,22.13,98.58,0.0,0.0,0.0,399.68,1.4,144.0,969.03,
2006,1,12,5,22.49,98.06,0.0,0.0,0.0,399.52,1.44,150.0,969.54,
2006,1,12,6,22.85,97.53,0.0,0.0,0.0,399.35,1.48,156.0,970.05,
2006,1,12,7,24.42,93.53,139.1,205.9,89.8,404.82,1.59,165.0,970.12,
2006,1,12,8,25.99,89.54,275.0,121.07,219.0,410.28,1.71,173.0,970.18,
2006,1,12,9,27.56,85.54,538.15,470.93,230.45,415.75,1.82,182.0,970.25,
2006,1,12,10,27.67,86.57,345.0,15.02,333.0,414.0,1.49,175.0,969.35,
2006,1,12,11,27.78,87.59,892.0,709.39,261.0,412.25,1.17,167.0,968.46,
2006,1,12,12,27.89,88.62,906.0,665.11,295.0,410.5,0.84,160.0,967.56,
2006,1,12,13,27.35,89.32,825.25,639.87,259.3,411.38,0.69,123.0,967.88,
2006,1,12,14,26.81,90.01,735.2,606.46,256.5,412.27,0.55,87.0,968.2,
2006,1,12,15,26.27,90.71,616.0,680.01,181.0,413.15,0.4,51.0,968.52,
2006,1,12,16,25.41,93.34,388.0,531.69,151.0,412.73,0.6,21.0,969.03,
2006,1,12,17,24.54,95.98,58.0,4.53,57.0,412.32,0.8,352.0,969.54,
2006,1,12,18,23.68,98.61,0.0,0.0,0.0,411.9,0.99,322.0,970.05,
2006,1,12,19,23.25,98.94,0.0,0.0,0.0,408.28,1.06,302.0,970.5,
2006,1,12,20,22.83,99.27,0.0,0.0,0.0,404.67,1.12,282.0,970.95,
2006,1,12,21,22.41,99.6,0.0,0.0,0.0,401.05,1.19,263.0,971.4,
2006,1,12,22,22.49,99.36,0.0,0.0,0.0,400.52,1.17,253.0,971.24,
2006,1,12,23,22.56,99.12,0.0,0.0,0.0,399.98,1.16,244.0,971.08,
2006,1,13,0,22.63,98.88,0.0,0.0,0.0,399.45,1.14,235.0,970.92,
2006,1,13,1,22.83,99.08,0.0,0.0,0.0,410.02,1.02,218.0,970.5,
2006,1,13,2,23.02,99.28,0.0,0.0,0.0,420.58,0.89,201.0,970.09,
2006,1,13,3,23.21,99.48,0.0,0.0,0.0,431.15,0.76,184.0,969.67,
2006,1,13,4,23.39,99.42,0.0,0.0,0.0,431.68,0.89,188.0,970.12,
2006,1,13,5,23.57,99.37,0.0,0.0,0.0,432.22,1.03,192.0,970.57,
2006,1,13,6,23.74,99.31,0.0,0.0,0.0,432.75,1.16,197.0,971.01,
2006,1,13,7,24.78,97.24,140.75,208.32,91.1,430.3,0.88,235.0,971.11,
2006,1,13,8,25.82,95.16,314.0,210.03,217.0,427.85,0.6,272.0,971.21,
2006,1,13,9,26.86,93.09,539.4,461.44,238.0,425.4,0.32,310.0,971.3,
2006,1,13,10,26.76,92.78,766.0,623.06,268.0,425.42,0.56,312.0,970.25,
2006,1,13,11,26.66,92.46,718.0,320.14,433.0,425.43,0.8,313.0,969.19,
2006,1,13,12,26.56,92.15,949.0,777.34,234.0,425.45,1.05,314.0,968.14,
