Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,3201,Kampot,KHM,Cambodia,10.6170896596,104.183345906,7,4.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2007,1,1,0,25.66,80.67,0.0,0.0,0.0,416.89,2.77,74.0,1007.42,
2007,1,1,1,25.86,79.89,0.0,0.0,0.0,417.19,2.93,75.0,1007.12,
2007,1,1,2,26.06,79.11,0.0,0.0,0.0,417.49,3.08,76.0,1006.82,
2007,1,1,3,26.26,78.33,0.0,0.0,0.0,417.79,3.23,78.0,1006.52,
2007,1,1,4,26.46,77.55,0.0,0.0,0.0,418.09,3.39,75.0,1007.12,
2007,1,1,5,26.65,76.77,0.0,0.0,0.0,418.38,3.54,73.0,1007.72,
2007,1,1,6,26.85,76.0,0.0,0.0,0.0,418.68,3.69,70.0,1008.32,
2007,1,1,7,27.05,75.22,94.75,335.35,68.5,418.98,3.85,49.0,1011.89,
2007,1,1,8,27.25,74.44,254.0,506.49,100.0,419.28,4.0,47.0,1012.15,
2007,1,1,9,27.45,73.66,483.0,698.14,131.0,419.58,4.15,46.0,1012.42,
2007,1,1,10,27.65,72.88,562.0,413.49,287.0,419.88,4.31,48.0,1011.65,
2007,1,1,11,27.84,72.1,650.0,381.58,354.0,420.17,4.46,49.0,1010.89,
2007,1,1,12,28.04,71.33,820.0,687.91,250.0,420.47,4.61,51.0,1010.12,
2007,1,1,13,28.24,70.55,638.0,282.89,406.0,420.77,4.77,54.0,1009.55,
2007,1,1,14,28.44,69.77,724.0,644.64,240.0,421.07,4.92,57.0,1008.99,
2007,1,1,15,29.12,71.2,516.0,390.13,272.0,424.3,3.21,60.0,1008.42,
2007,1,1,16,28.71,73.62,379.0,459.64,171.0,425.73,3.09,63.0,1009.09,
2007,1,1,17,28.3,76.03,166.0,270.62,100.0,427.17,2.96,67.0,1009.75,
2007,1,1,18,27.89,78.45,0.0,0.0,0.0,428.6,2.83,70.0,1010.42,
2007,1,1,19,27.87,78.85,0.0,0.0,0.0,428.48,2.48,78.0,1010.99,
2007,1,1,20,27.86,79.24,0.0,0.0,0.0,428.37,2.14,85.0,1011.55,
2007,1,1,21,27.84,79.64,0.0,0.0,0.0,428.25,1.79,93.0,1012.12,
2007,1,1,22,27.61,81.19,0.0,0.0,0.0,429.57,1.35,94.0,1011.82,
2007,1,1,23,27.37,82.74,0.0,0.0,0.0,430.88,0.91,95.0,1011.52,
2007,1,2,0,27.14,84.29,0.0,0.0,0.0,432.2,0.47,96.0,1011.22,
2007,1,2,1,26.86,86.61,0.0,0.0,0.0,431.3,0.57,89.0,1010.62,
2007,1,2,2,26.59,88.93,0.0,0.0,0.0,430.4,0.67,82.0,1010.02,
2007,1,2,3,26.31,91.25,0.0,0.0,0.0,429.5,0.77,75.0,1009.42,
2007,1,2,4,26.17,92.29,0.0,0.0,0.0,428.77,1.08,59.0,1009.79,
2007,1,2,5,26.04,93.34,0.0,0.0,0.0,428.03,1.39,42.0,1010.15,
2007,1,2,6,25.9,94.38,0.0,0.0,0.0,427.3,1.7,26.0,1010.52,
2007,1,2,7,26.3,88.96,137.0,832.4,73.0,427.33,1.97,26.0,1010.95,
2007,1,2,8,26.69,83.54,162.0,92.43,134.0,427.37,2.25,26.0,1011.39,
2007,1,2,9,27.08,78.12,402.0,369.45,216.0,427.4,2.52,26.0,1011.82,
2007,1,2,10,27.76,73.52,644.0,676.92,194.0,425.72,2.38,19.0,1011.22,
2007,1,2,11,28.43,68.92,737.0,604.46,268.0,424.03,2.24,11.0,1010.62,
2007,1,2,12,29.11,64.32,647.0,284.59,411.0,422.35,2.1,3.0,1010.02,
2007,1,2,13,29.18,64.1,593.0,209.45,421.0,423.2,1.8,351.0,1009.39,
2007,1,2,14,29.24,63.88,558.0,241.92,376.0,424.05,1.5,338.0,1008.75,
2007,1,2,15,29.31,63.66,377.0,108.41,309.0,424.9,1.2,325.0,1008.12,
2007,1,2,16,28.94,65.47,62.0,0.0,62.0,425.38,1.11,323.0,1008.69,
2007,1,2,17,28.57,67.29,25.0,0.0,25.0,425.87,1.03,320.0,1009.25,
2007,1,2,18,28.2,69.1,0.0,0.0,0.0,426.35,0.94,317.0,1009.82,
2007,1,2,19,27.99,72.99,0.0,0.0,0.0,427.62,1.6,316.0,1009.99,
2007,1,2,20,27.78,76.87,0.0,0.0,0.0,428.88,2.27,315.0,1010.15,
2007,1,2,21,27.57,80.76,0.0,0.0,0.0,430.15,2.94,313.0,1010.32,
2007,1,2,22,27.41,82.42,0.0,0.0,0.0,430.42,2.93,310.0,1010.19,
2007,1,2,23,27.25,84.09,0.0,0.0,0.0,430.68,2.93,307.0,1010.05,
2007,1,3,0,27.09,85.75,0.0,0.0,0.0,430.95,2.92,304.0,1009.92,
2007,1,3,1,26.91,86.74,0.0,0.0,0.0,430.37,2.92,305.0,1009.62,
2007,1,3,2,26.72,87.73,0.0,0.0,0.0,429.78,2.91,305.0,1009.32,
2007,1,3,3,26.54,88.72,0.0,0.0,0.0,429.2,2.91,306.0,1009.02,
2007,1,3,4,26.41,89.02,0.0,0.0,0.0,430.05,2.68,311.0,1009.35,
2007,1,3,5,26.28,89.33,0.0,0.0,0.0,430.9,2.45,315.0,1009.69,
2007,1,3,6,26.15,89.63,0.0,0.0,0.0,431.75,2.22,320.0,1010.02,
2007,1,3,7,26.65,83.34,79.0,92.66,72.0,427.17,2.43,329.0,1010.25,
2007,1,3,8,27.14,77.05,97.0,3.31,96.0,422.58,2.64,339.0,1010.49,
2007,1,3,9,27.63,70.76,148.0,0.0,148.0,418.0,2.86,349.0,1010.72,
2007,1,3,10,28.27,68.09,626.0,612.45,219.0,416.95,2.77,352.0,1010.12,
2007,1,3,11,28.91,65.42,768.0,695.75,228.0,415.9,2.68,356.0,1009.52,
2007,1,3,12,29.55,62.75,850.0,773.51,208.0,414.85,2.59,0.0,1008.92,
2007,1,3,13,29.57,61.62,808.0,671.22,256.0,416.15,1.97,1.0,1008.39,
2007,1,3,14,29.58,60.48,660.0,456.31,316.0,417.45,1.35,1.0,1007.86,
2007,1,3,15,29.6,59.35,540.0,449.84,257.0,418.75,0.73,2.0,1007.32,
2007,1,3,16,29.21,61.96,200.0,26.28,188.0,420.65,0.88,51.0,1007.86,
2007,1,3,17,28.83,64.57,30.0,0.0,30.0,422.55,1.03,100.0,1008.39,
2007,1,3,18,28.44,67.18,0.0,0.0,0.0,424.45,1.19,149.0,1008.92,
2007,1,3,19,28.14,73.71,0.0,0.0,0.0,424.7,1.43,160.0,1009.42,
2007,1,3,20,27.85,80.24,0.0,0.0,0.0,424.95,1.66,171.0,1009.92,
2007,1,3,21,27.55,86.77,0.0,0.0,0.0,425.2,1.9,182.0,1010.42,
2007,1,3,22,27.38,88.09,0.0,0.0,0.0,425.95,1.86,188.0,1010.29,
2007,1,3,23,27.2,89.41,0.0,0.0,0.0,426.7,1.82,194.0,1010.15,
2007,1,4,0,27.03,90.73,0.0,0.0,0.0,427.45,1.78,201.0,1010.02,
2007,1,4,1,26.86,89.16,0.0,0.0,0.0,426.88,1.66,215.0,1009.69,
2007,1,4,2,26.69,87.59,0.0,0.0,0.0,426.32,1.53,230.0,1009.35,
2007,1,4,3,26.52,86.02,0.0,0.0,0.0,425.75,1.41,244.0,1009.02,
2007,1,4,4,26.39,86.84,0.0,0.0,0.0,425.47,1.32,259.0,1009.42,
2007,1,4,5,26.26,87.66,0.0,0.0,0.0,425.18,1.23,274.0,1009.82,
2007,1,4,6,26.12,88.48,0.0,0.0,0.0,424.9,1.14,289.0,1010.22,
2007,1,4,7,26.49,84.61,48.0,0.0,48.0,424.73,1.04,300.0,1010.55,
2007,1,4,8,26.86,80.73,159.0,89.74,132.0,424.57,0.94,310.0,1010.89,
2007,1,4,9,27.22,76.86,429.0,469.96,193.0,424.4,0.84,321.0,1011.22,
2007,1,4,10,27.76,76.25,644.0,675.82,195.0,423.85,0.86,316.0,1010.72,
2007,1,4,11,28.3,75.64,759.0,669.71,239.0,423.3,0.89,310.0,1010.22,
2007,1,4,12,28.84,75.03,705.0,392.4,379.0,422.75,0.91,305.0,1009.72,
2007,1,4,13,28.88,75.98,665.0,325.39,397.0,423.77,0.87,325.0,1009.22,
2007,1,4,14,28.92,76.92,586.0,288.55,368.0,424.78,0.84,344.0,1008.72,
2007,1,4,15,28.96,77.87,296.0,30.11,277.0,425.8,0.8,4.0,1008.22,
2007,1,4,16,28.55,80.72,349.0,322.65,201.0,426.23,1.17,22.0,1008.75,
2007,1,4,17,28.15,83.56,103.0,31.97,95.0,426.67,1.54,40.0,1009.29,
2007,1,4,18,27.74,86.41,0.0,0.0,0.0,427.1,1.9,58.0,1009.82,
2007,1,4,19,27.48,87.31,0.0,0.0,0.0,428.33,1.35,44.0,1009.99,
2007,1,4,20,27.21,88.22,0.0,0.0,0.0,429.57,0.79,29.0,1010.15,
2007,1,4,21,26.95,89.12,0.0,0.0,0.0,430.8,0.23,15.0,1010.32,
2007,1,4,22,26.86,89.77,0.0,0.0,0.0,429.88,0.33,7.0,1010.15,
2007,1,4,23,26.78,90.41,0.0,0.0,0.0,428.97,0.43,359.0,1009.99,
2007,1,5,0,26.69,91.06,0.0,0.0,0.0,428.05,0.52,351.0,1009.82,
2007,1,5,1,26.54,92.89,0.0,0.0,0.0,428.22,0.61,1.0,1009.52,
2007,1,5,2,26.39,94.71,0.0,0.0,0.0,428.38,0.69,11.0,1009.22,
2007,1,5,3,26.24,96.54,0.0,0.0,0.0,428.55,0.77,20.0,1008.92,
2007,1,5,4,26.07,97.4,0.0,0.0,0.0,429.05,1.45,32.0,1009.42,
2007,1,5,5,25.9,98.27,0.0,0.0,0.0,429.55,2.12,44.0,1009.92,
2007,1,5,6,25.73,99.13,0.0,0.0,0.0,430.05,2.8,56.0,1010.42,
2007,1,5,7,26.31,93.3,15.0,0.0,15.0,431.55,3.31,55.0,1010.55,
2007,1,5,8,26.89,87.47,22.0,0.0,22.0,433.05,3.81,55.0,1010.69,
2007,1,5,9,27.46,81.64,242.0,41.86,221.0,434.55,4.32,55.0,1010.82,
2007,1,5,10,27.9,80.48,420.0,129.46,334.0,433.12,4.38,59.0,1010.59,
2007,1,5,11,28.35,79.31,594.0,269.04,385.0,431.68,4.44,62.0,1010.35,
2007,1,5,12,28.79,78.15,352.0,12.02,342.0,430.25,4.5,66.0,1010.12,
2007,1,5,13,28.77,78.8,488.0,87.28,416.0,429.43,4.32,69.0,1009.65,
2007,1,5,14,28.74,79.44,281.0,3.96,278.0,428.62,4.15,73.0,1009.19,
2007,1,5,15,28.72,80.09,307.0,36.34,284.0,427.8,3.97,76.0,1008.72,
2007,1,5,16,28.3,81.58,299.0,173.6,219.0,428.58,3.76,76.0,1009.29,
2007,1,5,17,27.89,83.06,127.0,83.19,106.0,429.37,3.55,76.0,1009.85,
2007,1,5,18,27.47,84.55,0.0,0.0,0.0,430.15,3.34,76.0,1010.42,
2007,1,5,19,27.3,85.93,0.0,0.0,0.0,431.38,2.82,81.0,1010.72,
2007,1,5,20,27.13,87.31,0.0,0.0,0.0,432.62,2.3,87.0,1011.02,
2007,1,5,21,26.96,88.69,0.0,0.0,0.0,433.85,1.78,93.0,1011.32,
2007,1,5,22,26.82,88.25,0.0,0.0,0.0,434.5,2.1,83.0,1011.32,
2007,1,5,23,26.69,87.8,0.0,0.0,0.0,435.15,2.41,72.0,1011.32,
2007,1,6,0,26.55,87.36,0.0,0.0,0.0,435.8,2.73,61.0,1011.32,
2007,1,6,1,26.33,85.85,0.0,0.0,0.0,435.62,3.59,57.0,1011.02,
2007,1,6,2,26.1,84.34,0.0,0.0,0.0,435.43,4.44,53.0,1010.72,
2007,1,6,3,25.88,82.83,0.0,0.0,0.0,435.25,5.3,48.0,1010.42,
2007,1,6,4,25.72,81.93,0.0,0.0,0.0,434.97,5.78,47.0,1010.82,
2007,1,6,5,25.57,81.02,0.0,0.0,0.0,434.68,6.26,45.0,1011.22,
2007,1,6,6,25.41,80.12,0.0,0.0,0.0,434.4,6.74,43.0,1011.62,
2007,1,6,7,25.94,79.72,12.0,0.0,12.0,435.3,6.82,43.0,1011.82,
2007,1,6,8,26.47,79.31,33.0,0.0,33.0,436.2,6.89,42.0,1012.02,
2007,1,6,9,26.99,78.91,132.0,0.0,132.0,437.1,6.97,41.0,1012.22,
2007,1,6,10,27.46,76.89,323.0,34.63,300.0,436.62,7.03,42.0,1011.75,
2007,1,6,11,27.93,74.86,499.0,128.65,399.0,436.13,7.09,42.0,1011.29,
2007,1,6,12,28.4,72.84,659.0,301.48,408.0,435.65,7.16,43.0,1010.82,
2007,1,6,13,28.43,72.44,419.0,38.73,387.0,435.95,7.07,43.0,1010.39,
2007,1,6,14,28.47,72.03,157.0,0.0,157.0,436.25,6.97,44.0,1009.95,
2007,1,6,15,28.5,71.63,284.0,22.05,270.0,436.55,6.88,44.0,1009.52,
2007,1,6,16,28.29,71.2,114.0,0.0,114.0,436.68,6.9,44.0,1010.02,
2007,1,6,17,28.07,70.76,20.0,0.0,20.0,436.82,6.91,44.0,1010.52,
2007,1,6,18,27.86,70.33,0.0,0.0,0.0,436.95,6.92,44.0,1011.02,
2007,1,6,19,27.87,70.19,0.0,0.0,0.0,437.87,6.66,46.0,1011.35,
2007,1,6,20,27.88,70.04,0.0,0.0,0.0,438.78,6.39,48.0,1011.69,
2007,1,6,21,27.89,69.9,0.0,0.0,0.0,439.7,6.12,50.0,1012.02,
2007,1,6,22,27.79,69.44,0.0,0.0,0.0,440.32,6.66,50.0,1012.02,
2007,1,6,23,27.69,68.98,0.0,0.0,0.0,440.93,7.19,49.0,1012.02,
2007,1,7,0,27.59,68.52,0.0,0.0,0.0,441.55,7.72,49.0,1012.02,
2007,1,7,1,27.07,68.69,0.0,0.0,0.0,440.53,8.18,49.0,1011.65,
2007,1,7,2,26.54,68.86,0.0,0.0,0.0,439.52,8.63,48.0,1011.29,
2007,1,7,3,26.02,69.03,0.0,0.0,0.0,438.5,9.09,47.0,1010.92,
2007,1,7,4,25.59,69.01,0.0,0.0,0.0,436.57,9.04,48.0,1011.29,
2007,1,7,5,25.16,68.99,0.0,0.0,0.0,434.63,8.99,48.0,1011.65,
2007,1,7,6,24.72,68.97,0.0,0.0,0.0,432.7,8.94,49.0,1012.02,
2007,1,7,7,24.91,70.7,19.0,0.0,19.0,433.5,8.57,49.0,1012.55,
2007,1,7,8,25.09,72.44,22.0,0.0,22.0,434.3,8.2,49.0,1013.09,
2007,1,7,9,25.27,74.17,50.0,0.0,50.0,435.1,7.83,49.0,1013.62,
2007,1,7,10,25.56,73.53,95.0,0.0,95.0,434.5,7.82,48.0,1012.99,
2007,1,7,11,25.86,72.88,290.0,3.86,287.0,433.9,7.8,48.0,1012.35,
2007,1,7,12,26.15,72.24,225.0,0.0,225.0,433.3,7.78,48.0,1011.72,
2007,1,7,13,26.41,70.45,238.0,0.0,238.0,430.9,7.88,51.0,1010.95,
2007,1,7,14,26.68,68.67,202.0,0.0,202.0,428.5,7.98,54.0,1010.19,
2007,1,7,15,26.94,66.88,234.0,4.71,231.0,426.1,8.08,57.0,1009.42,
2007,1,7,16,26.78,67.27,219.0,38.7,201.0,423.77,7.85,56.0,1010.12,
2007,1,7,17,26.63,67.65,23.0,0.0,23.0,421.43,7.61,56.0,1010.82,
2007,1,7,18,26.47,68.04,0.0,0.0,0.0,419.1,7.38,56.0,1011.52,
2007,1,7,19,26.44,68.57,0.0,0.0,0.0,421.65,7.13,55.0,1012.02,
2007,1,7,20,26.41,69.11,0.0,0.0,0.0,424.2,6.88,55.0,1012.52,
2007,1,7,21,26.38,69.64,0.0,0.0,0.0,426.75,6.63,54.0,1013.02,
2007,1,7,22,26.05,70.82,0.0,0.0,0.0,428.18,6.48,54.0,1012.82,
2007,1,7,23,25.73,71.99,0.0,0.0,0.0,429.62,6.32,53.0,1012.62,
2007,1,8,0,25.4,73.17,0.0,0.0,0.0,431.05,6.17,52.0,1012.42,
2007,1,8,1,25.04,74.26,0.0,0.0,0.0,430.57,6.2,50.0,1012.12,
2007,1,8,2,24.68,75.34,0.0,0.0,0.0,430.08,6.23,48.0,1011.82,
2007,1,8,3,24.32,76.43,0.0,0.0,0.0,429.6,6.26,46.0,1011.52,
2007,1,8,4,24.13,75.79,0.0,0.0,0.0,427.42,6.57,45.0,1012.05,
2007,1,8,5,23.95,75.15,0.0,0.0,0.0,425.23,6.89,43.0,1012.59,
2007,1,8,6,23.76,74.51,0.0,0.0,0.0,423.05,7.2,42.0,1013.12,
2007,1,8,7,24.25,72.74,17.0,0.0,17.0,420.05,7.23,43.0,1013.52,
2007,1,8,8,24.74,70.98,218.0,319.35,123.0,417.05,7.26,45.0,1013.92,
2007,1,8,9,25.23,69.21,338.0,193.86,241.0,414.05,7.28,46.0,1014.32,
2007,1,8,10,25.93,67.6,532.0,338.64,307.0,414.97,7.33,49.0,1013.59,
2007,1,8,11,26.63,65.98,704.0,508.72,308.0,415.88,7.38,52.0,1012.85,
2007,1,8,12,27.33,64.37,813.0,648.19,272.0,416.8,7.43,55.0,1012.12,
2007,1,8,13,27.5,64.58,731.0,453.45,355.0,420.28,7.13,56.0,1011.49,
2007,1,8,14,27.68,64.8,750.0,688.52,225.0,423.77,6.83,57.0,1010.85,
2007,1,8,15,27.85,65.01,591.0,586.76,216.0,427.25,6.52,58.0,1010.22,
2007,1,8,16,27.68,65.73,292.0,147.63,223.0,430.37,6.38,56.0,1010.85,
2007,1,8,17,27.5,66.44,114.0,46.32,102.0,433.48,6.23,54.0,1011.49,
2007,1,8,18,27.33,67.16,0.0,0.0,0.0,436.6,6.08,51.0,1012.12,
2007,1,8,19,27.18,67.27,0.0,0.0,0.0,435.27,6.23,51.0,1012.55,
2007,1,8,20,27.02,67.37,0.0,0.0,0.0,433.93,6.37,50.0,1012.99,
2007,1,8,21,26.87,67.48,0.0,0.0,0.0,432.6,6.51,50.0,1013.42,
2007,1,8,22,26.65,67.6,0.0,0.0,0.0,427.12,6.57,50.0,1013.02,
2007,1,8,23,26.44,67.73,0.0,0.0,0.0,421.63,6.62,51.0,1012.62,
2007,1,9,0,26.22,67.85,0.0,0.0,0.0,416.15,6.68,52.0,1012.22,
2007,1,9,1,25.91,68.61,0.0,0.0,0.0,414.95,6.84,52.0,1011.95,
2007,1,9,2,25.59,69.37,0.0,0.0,0.0,413.75,7.01,53.0,1011.69,
2007,1,9,3,25.28,70.13,0.0,0.0,0.0,412.55,7.17,53.0,1011.42,
2007,1,9,4,24.92,71.11,0.0,0.0,0.0,410.75,7.21,53.0,1011.99,
2007,1,9,5,24.56,72.08,0.0,0.0,0.0,408.95,7.26,53.0,1012.55,
2007,1,9,6,24.2,73.06,0.0,0.0,0.0,407.15,7.3,52.0,1013.12,
2007,1,9,7,24.71,71.65,79.0,131.36,70.0,406.47,7.16,51.0,1013.49,
2007,1,9,8,25.22,70.25,245.0,488.59,100.0,405.78,7.02,49.0,1013.85,
2007,1,9,9,25.73,68.84,485.0,733.87,118.0,405.1,6.88,47.0,1014.22,
2007,1,9,10,26.46,66.96,658.0,729.77,173.0,405.08,6.76,52.0,1013.49,
2007,1,9,11,27.2,65.09,814.0,843.3,157.0,405.07,6.64,57.0,1012.75,
2007,1,9,12,27.93,63.21,866.0,805.26,193.0,405.05,6.52,61.0,1012.02,
2007,1,9,13,28.32,62.43,864.0,818.55,184.0,407.62,6.42,62.0,1011.52,
2007,1,9,14,28.72,61.65,760.0,716.91,212.0,410.18,6.32,63.0,1011.02,
2007,1,9,15,29.11,60.87,611.0,648.76,195.0,412.75,6.22,64.0,1010.52,
2007,1,9,16,28.84,62.59,437.0,653.71,130.0,416.27,5.72,63.0,1011.12,
2007,1,9,17,28.56,64.3,197.0,382.7,97.0,419.78,5.23,62.0,1011.72,
2007,1,9,18,28.29,66.02,0.0,0.0,0.0,423.3,4.73,61.0,1012.32,
2007,1,9,19,28.11,68.33,0.0,0.0,0.0,421.0,4.28,63.0,1012.79,
2007,1,9,20,27.94,70.65,0.0,0.0,0.0,418.7,3.82,66.0,1013.25,
2007,1,9,21,27.76,72.96,0.0,0.0,0.0,416.4,3.37,68.0,1013.72,
2007,1,9,22,27.57,72.82,0.0,0.0,0.0,415.53,3.62,67.0,1013.52,
2007,1,9,23,27.38,72.67,0.0,0.0,0.0,414.67,3.87,66.0,1013.32,
2007,1,10,0,27.19,72.53,0.0,0.0,0.0,413.8,4.12,66.0,1013.12,
2007,1,10,1,26.85,72.35,0.0,0.0,0.0,412.97,4.75,63.0,1012.79,
2007,1,10,2,26.5,72.16,0.0,0.0,0.0,412.13,5.37,60.0,1012.45,
2007,1,10,3,26.16,71.98,0.0,0.0,0.0,411.3,6.0,58.0,1012.12,
2007,1,10,4,25.66,72.32,0.0,0.0,0.0,410.05,6.24,55.0,1012.62,
2007,1,10,5,25.17,72.66,0.0,0.0,0.0,408.8,6.48,53.0,1013.12,
2007,1,10,6,24.67,73.0,0.0,0.0,0.0,407.55,6.72,50.0,1013.62,
2007,1,10,7,25.11,71.88,15.0,0.0,15.0,406.53,6.57,50.0,1013.95,
2007,1,10,8,25.54,70.77,118.0,23.64,111.0,405.52,6.42,49.0,1014.29,
2007,1,10,9,25.97,69.65,439.0,520.14,179.0,404.5,6.28,48.0,1014.62,
2007,1,10,10,26.71,67.35,435.0,150.41,335.0,403.2,5.98,48.0,1013.82,
2007,1,10,11,27.44,65.05,553.0,197.48,399.0,401.9,5.68,47.0,1013.02,
2007,1,10,12,28.18,62.75,649.0,277.2,417.0,400.6,5.38,47.0,1012.22,
2007,1,10,13,28.52,61.5,795.0,607.93,289.0,402.2,5.09,49.0,1011.45,
2007,1,10,14,28.87,60.26,408.0,53.5,367.0,403.8,4.81,51.0,1010.69,
2007,1,10,15,29.21,59.01,313.0,37.3,289.0,405.4,4.52,54.0,1009.92,
2007,1,10,16,28.93,61.47,235.0,50.86,211.0,407.63,4.21,55.0,1010.49,
2007,1,10,17,28.66,63.94,92.0,11.38,89.0,409.87,3.89,57.0,1011.05,
2007,1,10,18,28.38,66.4,0.0,0.0,0.0,412.1,3.57,58.0,1011.62,
2007,1,10,19,28.1,68.69,0.0,0.0,0.0,415.13,3.34,61.0,1012.19,
2007,1,10,20,27.82,70.98,0.0,0.0,0.0,418.17,3.1,64.0,1012.75,
2007,1,10,21,27.54,73.27,0.0,0.0,0.0,421.2,2.87,67.0,1013.32,
2007,1,10,22,27.26,74.52,0.0,0.0,0.0,419.6,2.92,66.0,1012.95,
2007,1,10,23,26.97,75.76,0.0,0.0,0.0,418.0,2.98,65.0,1012.59,
2007,1,11,0,26.69,77.01,0.0,0.0,0.0,416.4,3.03,63.0,1012.22,
2007,1,11,1,26.44,76.93,0.0,0.0,0.0,414.67,3.31,61.0,1011.75,
2007,1,11,2,26.18,76.84,0.0,0.0,0.0,412.93,3.58,58.0,1011.29,
2007,1,11,3,25.93,76.76,0.0,0.0,0.0,411.2,3.85,55.0,1010.82,
2007,1,11,4,25.71,76.6,0.0,0.0,0.0,410.42,4.15,55.0,1011.22,
2007,1,11,5,25.49,76.43,0.0,0.0,0.0,409.63,4.46,54.0,1011.62,
2007,1,11,6,25.26,76.27,0.0,0.0,0.0,408.85,4.76,54.0,1012.02,
2007,1,11,7,25.71,73.81,60.0,30.04,58.0,407.92,4.73,53.0,1012.39,
2007,1,11,8,26.16,71.35,229.0,392.48,113.0,406.98,4.7,52.0,1012.75,
2007,1,11,9,26.6,68.89,477.0,694.39,130.0,406.05,4.68,51.0,1013.12,
2007,1,11,10,27.31,66.37,680.0,814.84,138.0,404.2,4.44,52.0,1012.42,
2007,1,11,11,28.03,63.85,803.0,798.1,180.0,402.35,4.21,52.0,1011.72,
2007,1,11,12,28.74,61.33,869.0,806.5,193.0,400.5,3.97,52.0,1011.02,
2007,1,11,13,29.0,60.61,868.0,818.96,185.0,400.72,3.68,52.0,1010.35,
2007,1,11,14,29.27,59.88,786.0,791.37,178.0,400.93,3.38,51.0,1009.69,
2007,1,11,15,29.53,59.16,640.0,743.54,160.0,401.15,3.09,51.0,1009.02,
2007,1,11,16,29.22,61.56,451.0,706.5,116.0,403.55,2.91,53.0,1009.49,
2007,1,11,17,28.92,63.96,210.0,451.46,90.0,405.95,2.72,56.0,1009.95,
2007,1,11,18,28.61,66.36,0.0,0.0,0.0,408.35,2.54,58.0,1010.42,
2007,1,11,19,28.31,70.86,0.0,0.0,0.0,410.08,2.36,70.0,1010.99,
2007,1,11,20,28.01,75.36,0.0,0.0,0.0,411.82,2.18,83.0,1011.55,
2007,1,11,21,27.71,79.86,0.0,0.0,0.0,413.55,2.0,95.0,1012.12,
2007,1,11,22,27.44,81.87,0.0,0.0,0.0,413.47,1.9,94.0,1011.92,
2007,1,11,23,27.16,83.89,0.0,0.0,0.0,413.38,1.81,94.0,1011.72,
2007,1,12,0,26.89,85.9,0.0,0.0,0.0,413.3,1.71,94.0,1011.52,
2007,1,12,1,26.6,86.83,0.0,0.0,0.0,412.5,1.85,89.0,1011.02,
2007,1,12,2,26.32,87.76,0.0,0.0,0.0,411.7,2.0,83.0,1010.52,
2007,1,12,3,26.03,88.69,0.0,0.0,0.0,410.9,2.14,78.0,1010.02,
2007,1,12,4,25.82,88.9,0.0,0.0,0.0,409.88,2.43,76.0,1010.42,
2007,1,12,5,25.61,89.12,0.0,0.0,0.0,408.87,2.73,75.0,1010.82,
2007,1,12,6,25.39,89.33,0.0,0.0,0.0,407.85,3.02,73.0,1011.22,
2007,1,12,7,25.82,84.52,58.0,30.44,56.0,405.58,3.09,77.0,1011.75,
2007,1,12,8,26.25,79.71,200.0,240.65,129.0,403.32,3.17,81.0,1012.29,
2007,1,12,9,26.67,74.9,454.0,586.43,161.0,401.05,3.24,84.0,1012.82,
2007,1,12,10,27.42,71.15,666.0,757.27,162.0,399.28,3.25,80.0,1012.15,
2007,1,12,11,28.17,67.41,804.0,798.5,180.0,397.52,3.26,76.0,1011.49,
2007,1,12,12,28.92,63.66,866.0,792.14,201.0,395.75,3.27,71.0,1010.82,
2007,1,12,13,29.09,63.44,846.0,745.49,223.0,397.05,3.19,68.0,1009.92,
2007,1,12,14,29.26,63.21,746.0,651.7,244.0,398.35,3.11,65.0,1009.02,
2007,1,12,15,29.43,62.99,510.0,324.19,300.0,399.65,3.03,62.0,1008.12,
2007,1,12,16,29.24,65.54,423.0,556.17,158.0,402.67,2.63,69.0,1008.75,
2007,1,12,17,29.05,68.08,68.0,0.0,68.0,405.68,2.23,76.0,1009.39,
2007,1,12,18,28.86,70.63,0.0,0.0,0.0,408.7,1.83,83.0,1010.02,
2007,1,12,19,28.56,72.61,0.0,0.0,0.0,410.07,1.6,95.0,1010.62,
2007,1,12,20,28.25,74.6,0.0,0.0,0.0,411.43,1.36,108.0,1011.22,
2007,1,12,21,27.95,76.58,0.0,0.0,0.0,412.8,1.12,120.0,1011.82,
2007,1,12,22,27.76,78.89,0.0,0.0,0.0,413.25,0.87,118.0,1011.59,
2007,1,12,23,27.57,81.2,0.0,0.0,0.0,413.7,0.62,115.0,1011.35,
2007,1,13,0,27.38,83.51,0.0,0.0,0.0,414.15,0.37,113.0,1011.12,
2007,1,13,1,27.03,85.17,0.0,0.0,0.0,414.45,0.72,104.0,1010.79,
2007,1,13,2,26.67,86.84,0.0,0.0,0.0,414.75,1.07,96.0,1010.45,
2007,1,13,3,26.32,88.5,0.0,0.0,0.0,415.05,1.42,87.0,1010.12,
2007,1,13,4,26.23,86.84,0.0,0.0,0.0,414.85,2.19,80.0,1010.55,
2007,1,13,5,26.14,85.17,0.0,0.0,0.0,414.65,2.96,73.0,1010.99,
2007,1,13,6,26.04,83.51,0.0,0.0,0.0,414.45,3.72,66.0,1011.42,
